,gridY,gridX,PredictedScore
0,0,0,0.02240264953557352
1,0,1,0.02240264953557352
2,0,2,0.02240264953557352
3,0,3,0.02240264953557352
4,0,4,0.02240264953557352
5,0,5,0.02240264953557352
6,0,6,0.02240264953557352
7,0,7,0.02240264953557352
8,0,8,0.02240264953557352
9,0,9,0.02240264953557352
10,0,10,0.02240264953557352
11,0,11,0.02240264953557352
12,0,12,0.02240264953557352
13,0,13,0.02240264953557352
14,0,14,0.02240264953557352
15,0,15,0.02240264953557352
16,0,16,0.02240264953557352
17,0,17,0.02240264953557352
18,0,18,0.02240264953557352
19,0,19,0.02240264953557352
20,0,20,0.02240264953557352
21,0,21,0.02240264953557352
22,0,22,0.02240264953557352
23,0,23,0.02240264953557352
24,0,24,0.9986910482567044
25,0,25,0.9999993434583788
26,0,26,0.8645478683877301
27,0,27,0.02240264953557352
28,0,28,0.02240264953557352
29,0,29,0.05414636714132732
30,0,30,0.9997504850012662
31,0,31,0.07192135594279171
32,1,0,0.02240264953557352
33,1,1,0.02240264953557352
34,1,2,0.02240264953557352
35,1,3,0.02240264953557352
36,1,4,0.02240264953557352
37,1,5,0.02240264953557352
38,1,6,0.02240264953557352
39,1,7,0.02240264953557352
40,1,8,0.02240264953557352
41,1,9,0.02240264953557352
42,1,10,0.02240264953557352
43,1,11,0.02240264953557352
44,1,12,0.02240264953557352
45,1,13,0.02240264953557352
46,1,14,0.02240264953557352
47,1,15,0.02240264953557352
48,1,16,0.02240264953557352
49,1,17,0.02240264953557352
50,1,18,0.02240264953557352
51,1,19,0.02240264953557352
52,1,20,0.02240264953557352
53,1,21,0.02240264953557352
54,1,22,0.9999920828220624
55,1,23,0.9999998734160607
56,1,24,0.9999972181325884
57,1,25,0.999996726142064
58,1,26,0.9753996133451334
59,1,27,0.02240264953557352
60,1,28,0.02240264953557352
61,1,29,0.5431189904311393
62,1,30,0.1618793841907237
63,1,31,0.02240264953557352
64,2,0,0.02240264953557352
65,2,1,0.02240264953557352
66,2,2,0.02240264953557352
67,2,3,0.02240264953557352
68,2,4,0.02240264953557352
69,2,5,0.02240264953557352
70,2,6,0.02240264953557352
71,2,7,0.02240264953557352
72,2,8,0.02240264953557352
73,2,9,0.02240264953557352
74,2,10,0.02240264953557352
75,2,11,0.02240264953557352
76,2,12,0.02240264953557352
77,2,13,0.02240264953557352
78,2,14,0.02240264953557352
79,2,15,0.02240264953557352
80,2,16,0.02240264953557352
81,2,17,0.02240264953557352
82,2,18,0.02240264953557352
83,2,19,0.07176872008299061
84,2,20,0.17249480826720062
85,2,21,0.9993882809082179
86,2,22,0.9999999990549675
87,2,23,1.0
88,2,24,1.0
89,2,25,0.02240264953557352
90,2,26,0.02240264953557352
91,2,27,0.02240264953557352
92,2,28,0.028003077573965567
93,2,29,0.03495349601869527
94,2,30,0.06713740798839671
95,2,31,0.02240264953557352
96,3,0,0.02240264953557352
97,3,1,0.02240264953557352
98,3,2,0.02240264953557352
99,3,3,0.02240264953557352
100,3,4,0.02240264953557352
101,3,5,0.02240264953557352
102,3,6,0.02240264953557352
103,3,7,0.02240264953557352
104,3,8,0.02240264953557352
105,3,9,0.02240264953557352
106,3,10,0.02240264953557352
107,3,11,0.02240264953557352
108,3,12,0.02240264953557352
109,3,13,0.02240264953557352
110,3,14,0.02240264953557352
111,3,15,0.02240264953557352
112,3,16,0.2924124750707558
113,3,17,0.5090226789682025
114,3,18,0.19501941348238183
115,3,19,0.9267676461660654
116,3,20,0.9999999978160747
117,3,21,0.9999999999962845
118,3,22,0.9999999999999882
119,3,23,1.0
120,3,24,1.0
121,3,25,0.9995239937739594
122,3,26,0.02240264953557352
123,3,27,0.02240264953557352
124,3,28,0.02240264953557352
125,3,29,0.02240264953557352
126,3,30,0.840905777474598
127,3,31,0.1088956596395844
128,4,0,0.02240264953557352
129,4,1,0.02240264953557352
130,4,2,0.02240264953557352
131,4,3,0.02240264953557352
132,4,4,0.02240264953557352
133,4,5,0.02240264953557352
134,4,6,0.02240264953557352
